# Created from the data file from Mimmo using the preprocess script
# Only includes columns of relevance: time, flux, local_sky, and data quality flag
# Daniel Apai
1578.181452193,120.934589841,135.100341800,0
1578.202285439,122.134917673,135.281997680,0
1578.223118684,122.052496770,135.244171140,0
1578.243951928,124.604736751,135.323760990,0
1578.264785172,126.035269973,135.601959230,0
1578.285618415,124.346696522,135.264846800,0
1578.306451657,122.146596986,135.179290770,0
1578.327284899,121.563544899,135.062164310,0
1578.348118139,120.262144537,135.162567140,0
1578.368951380,121.386255893,135.298934940,0
1578.389784619,118.427773389,135.364028930,0
1578.410617857,118.212899026,135.451568600,0
1578.431451095,119.276576111,135.207946780,0
1578.452284332,123.471234965,135.300613400,0
1578.473117568,123.211170679,135.197296140,0
1578.493950803,121.046180992,135.407745360,0
1578.514784038,120.904535254,135.101486210,0
1578.535617272,119.875451524,135.008163450,0
1578.556450505,122.830255718,134.980072020,0
1578.577283737,122.241543234,135.196563720,0
1578.598116969,117.610445757,135.412048340,0
1578.618950199,115.789164446,135.552062990,0
1578.639783429,119.949058647,135.026535030,0
1578.660616659,122.671500067,135.284194950,0
1578.681449887,122.064199681,135.147537230,0
1578.702283115,120.393150664,135.310668950,0
1578.723116341,119.870484309,135.298645020,0
1578.743949567,119.498347604,135.082580570,0
1578.764782793,120.427424919,135.161254880,0
1578.785616017,117.640363019,135.604644780,0
1578.806449241,116.460978846,134.974365230,0
1578.827282463,114.327181239,135.540847780,0
1578.848115685,118.099439376,135.139053340,0
1578.868948907,146.941380608,151.454040530,32
1578.889782127,118.643565030,135.243164060,0
1578.910615347,116.296013542,135.367355350,0
1578.931448565,118.598624463,134.884689330,0
1578.952281783,119.059020148,134.896728520,0
1578.973115001,118.990996068,135.025543210,0
1578.993948217,117.352688622,135.274581910,0
1579.014781432,115.078111965,135.065322880,0
1579.035614647,113.783491456,135.571182250,0
1579.056447861,117.073513450,135.108886720,0
1579.077281073,113.993105172,135.152099610,0
1579.098114286,117.224766408,134.992950440,0
1579.118947497,117.527928089,135.790802000,0
1579.139780707,118.639663985,135.546081540,0
1579.160613917,119.256098180,135.683471680,0
1579.181447125,119.925437641,135.365234380,0
1579.202280333,118.064896844,135.072036740,0
1579.223113540,117.640125731,134.855651860,0
1579.243946746,118.009841756,134.921173100,0
1579.264779952,111.978531550,135.363098140,0
1579.285613156,113.480837429,134.966461180,0
1579.306446359,111.780451636,135.577590940,0
1579.327279562,113.592104052,135.513885500,0
1579.348112764,117.876351192,135.671417240,0
1579.368945965,119.626149504,135.479385380,0
1579.389779165,119.067681205,135.695343020,0
1579.410612364,117.465292376,135.004577640,0
1579.431445562,116.494475938,135.573074340,0
1579.452278759,115.319748880,135.495574950,0
1579.473111955,111.904822834,135.400466920,0
1579.493945151,110.024591301,135.253829960,0
1579.514778345,108.589518647,135.620803830,0
1579.535611539,111.589962593,135.133132930,0
1579.556444732,114.903642434,135.207199100,0
1579.577277923,116.536486432,135.521575930,0
1579.598111114,116.933302646,135.372177120,0
1579.618944304,115.728120512,135.559539790,0
1579.639777493,117.501998163,135.262390140,0
1579.660610681,118.272196932,135.163162230,0
1579.681443868,112.333926655,135.345245360,0
1579.702277054,108.449753194,135.546951290,0
1579.723110239,108.501771266,135.308242800,0
1579.743943423,109.064756980,135.670303340,0
1579.764776607,114.510324137,135.524780270,0
1579.785609789,117.779311705,135.293975830,0
1579.806442970,119.061855922,135.167068480,0
1579.827276150,118.774470774,135.561386110,0
1579.848109329,121.656133077,135.041351320,0
1579.868942508,117.259524300,135.519500730,0
1579.889775685,113.845249180,135.089569090,0
1579.910608861,110.730063253,134.940155030,0
1579.931442036,109.280251039,135.129287720,0
1579.952275210,110.471979496,135.201538090,0
1579.973108384,113.623773419,135.627456670,0
1579.993941556,116.934179324,135.423065190,0
1580.014774727,120.392886755,134.949554440,0
1580.035607897,119.723271596,135.356536870,0
1580.056441066,121.167888545,135.113861080,0
1580.077274234,119.079989588,135.167678830,0
1580.098107401,115.605913025,135.405517580,0
1580.118940567,112.428646931,135.194152830,0
1580.139773731,109.888936924,135.279541020,0
1580.160606895,111.821926980,134.980804440,0
1580.181440057,113.872147754,135.211425780,0
1580.202273219,116.296874730,135.453033450,0
1580.223106379,118.242250762,135.175415040,0
1580.243939538,116.917486959,135.390899660,0
1580.264772696,120.034872638,135.009323120,0
1580.285605853,117.652528190,135.189819340,0
1580.306439009,115.344860465,135.289428710,0
1580.327272164,111.449128302,135.223724370,0
1580.348105317,110.423786682,135.413970950,0
1580.368938470,111.679106840,134.947509770,0
1580.389771621,112.323132840,135.359985350,0
1580.410604771,114.002136901,135.498031620,0
1580.431437920,114.865262128,135.571411130,0
1580.452271067,115.885035995,135.227478030,0
1580.473104213,117.938652101,135.249725340,0
1580.493937358,117.208545338,135.348037720,0
1580.514770502,116.279387643,135.021362300,0
1580.535603645,113.668921659,135.377304080,0
1580.556436786,114.033970999,135.271972660,0
1580.577269927,112.864369552,135.327758790,0
1580.598103066,113.221546854,134.853042600,0
1580.618936203,114.536197282,135.016204830,0
1580.639769339,114.816046347,135.260787960,0
1580.660602474,116.603782851,135.190795900,0
1580.681435608,119.393161402,134.974761960,0
1580.702268740,118.319343692,134.933746340,0
1580.723101871,115.964829021,135.246887210,0
1580.743935001,113.141217546,135.489318850,0
1580.764768129,113.130431603,135.157821660,0
1580.785601256,111.266701094,135.101562500,0
1580.806434382,110.255070681,135.138519290,0
1580.827267506,111.323539974,135.123352050,0
1580.848100628,110.578206064,135.352050780,0
1580.868933749,112.882748709,135.263626100,0
1580.889766869,112.491317689,135.217651370,0
1580.910599988,115.112349984,134.870025630,0
1580.931433104,113.547957882,135.054183960,0
1580.952266220,114.004815479,135.349212650,0
1580.973099333,113.855133274,135.382873540,0
1580.993932446,114.808522517,135.093582150,0
1581.014765556,113.036654658,135.067840580,0
1581.035598666,110.442936166,135.372924800,0
1581.056431773,113.720810947,135.037017820,0
1581.077264879,113.989736043,135.311157230,0
1581.098097984,115.132328457,135.375503540,0
1581.118931086,117.569524031,134.931640620,0
1581.139764188,117.398386474,135.321441650,0
1581.160597287,116.912531401,135.260635380,0
1581.181430385,116.243843208,135.202789310,0
1581.202263481,115.802322081,135.138702390,0
1581.223096575,113.310694130,135.637268070,0
1581.243929668,115.780315319,134.829528810,0
1581.264762758,114.134153991,135.175262450,0
1581.285595847,113.629909294,135.578903200,0
1581.306428935,115.485440704,135.071823120,0
1581.327262020,115.960133856,134.949890140,0
1581.348095103,115.151153297,135.635955810,0
1581.368928185,118.237061546,135.160995480,0
1581.389761265,118.444145739,135.022338870,0
1581.410594342,117.541744494,135.209350590,0
1581.431427418,117.013986663,135.073272710,0
1581.452260492,114.303550323,135.284469600,0
1581.473093564,113.909434546,135.469451900,0
1581.493926633,117.447724791,135.261138920,0
1581.514759701,117.801972927,135.197982790,0
1581.535592767,118.246805262,134.983505250,0
1581.556425830,120.472279538,135.014266970,0
1581.577258892,120.031389063,134.874298100,0
1581.598091951,120.104258964,134.924865720,0
1581.618925008,120.927713134,135.109115600,0
1581.639758063,118.216863344,135.154006960,0
1581.660591115,114.822178923,135.536102290,0
1581.681424166,116.964661420,135.426574710,0
1581.702257214,115.735544711,135.578979490,0
1581.723090260,116.455192068,135.242172240,0
1581.743923303,116.963173700,135.540603640,0
1581.764756344,118.733864700,135.348663330,0
1582.785572924,81.822801300,409.044311520,0
1582.806405909,71.139076002,461.459960940,0
1582.827238897,66.562398673,515.028625490,0
1582.848071887,63.168616906,568.605712890,0
1582.868904879,55.493867387,623.502319340,0
1582.889737874,46.747082543,679.586975100,0
1582.910570872,39.296497193,737.532104490,0
1582.931403873,35.933064089,800.944274900,0
1582.952236877,26.043939871,877.709228520,0
1582.973069883,15.735171619,969.578491210,0
1582.993902892,4.278003347,1074.961425780,0
1583.014735904,1.000000000,1200.979736330,0
1583.035568919,1.000000000,1354.043212890,0
1583.056401937,1.000000000,1536.531738280,0
1583.077234957,1.000000000,1738.467407230,0
1583.098067980,1.000000000,1958.962158200,2048
1583.118901006,1.000000000,2224.141113280,2048
1583.139734035,1.000000000,2752.663818360,2048
1583.160567066,1.000000000,4815.298828120,2048
1583.181400100,1.000000000,9652.074218750,2048
1583.202233136,1.000000000,19053.601562500,2048
1583.223066174,1.000000000,32787.222656250,2048
1583.243899216,1.000000000,51075.195312500,2048
1583.264732259,1.000000000,0.000000000,2048
1583.285565305,1.000000000,28.000000000,2048
1583.306398352,1.000000000,135.022308350,2048
1583.327231402,1.000000000,69.000000000,2048
1583.348064454,1.000000000,0.000000000,2048
1583.368897508,1.000000000,0.000000000,2048
1583.389730564,1.000000000,0.000000000,2048
1583.410563622,1.000000000,0.000000000,2048
1583.431396682,1.000000000,0.000000000,2048
1583.452229743,1.000000000,0.000000000,2048
1583.473062806,1.000000000,0.000000000,2048
1583.493895871,1.000000000,0.000000000,2048
1583.514728938,1.000000000,0.000000000,2048
1583.535562005,1.000000000,0.000000000,2048
1583.556395075,1.000000000,0.000000000,2048
1583.577228146,4510.877320253,0.000000000,2048
1583.598061218,314677.488988878,0.000000000,2048
1583.618894291,293984.396206680,0.000000000,2048
1583.639727366,279486.647332879,0.000000000,2048
1583.660560442,272791.860625526,0.000000000,2048
1583.681393519,1.000000000,79303.820312500,2048
1583.702226597,1.000000000,70318.476562500,2048
1583.723059677,1.000000000,61112.890625000,2048
1583.743892757,1.000000000,49112.824218750,2048
1583.764725838,1.000000000,31609.857421880,2048
1583.785558921,1.000000000,19932.503906250,2048
1583.806392004,1.000000000,15281.548828120,2048
1583.827225088,1.000000000,12516.158203120,2048
1583.848058173,1.000000000,9770.449218750,2048
