#first HST orbit is affected by the ramp effect 
Time (MJD), Luh16A_flux, Luh16B_flux,Luh16A_flux_err,Luh16B_flux_err 
     59707.4365, 3.565e-11, 4.167e-11, 5.848e-14, 6.801e-14
     59707.4368, 3.565e-11, 4.169e-11, 5.846e-14, 6.8e-14
     59707.4371, 3.566e-11, 4.169e-11, 5.835e-14, 6.792e-14
     59707.4374, 3.568e-11, 4.169e-11, 5.842e-14, 6.794e-14
     59707.4377, 3.566e-11, 4.17e-11, 5.839e-14, 6.796e-14
      59707.438, 3.563e-11, 4.173e-11, 5.834e-14, 6.819e-14
     59707.4383, 3.566e-11, 4.175e-11, 5.852e-14, 6.824e-14
     59707.4386, 3.565e-11, 4.172e-11, 5.834e-14, 6.81e-14
     59707.4389, 3.568e-11, 4.173e-11, 5.852e-14, 6.796e-14
     59707.4392, 3.565e-11, 4.172e-11, 5.843e-14, 6.832e-14
     59707.4395, 3.569e-11, 4.178e-11, 5.86e-14, 6.826e-14
     59707.4398, 3.572e-11, 4.177e-11, 5.886e-14, 6.822e-14
     59707.4401, 3.576e-11, 4.183e-11, 5.873e-14, 6.828e-14
     59707.4404, 3.568e-11, 4.177e-11, 5.863e-14, 6.83e-14
     59707.4407, 3.572e-11, 4.175e-11, 5.86e-14, 6.801e-14
      59707.441, 3.564e-11, 4.185e-11, 5.827e-14, 6.852e-14
     59707.4413, 3.571e-11, 4.178e-11, 5.864e-14, 6.811e-14
     59707.4416, 3.57e-11, 4.175e-11, 5.86e-14, 6.794e-14
     59707.4419, 3.568e-11, 4.176e-11, 5.856e-14, 6.818e-14
     59707.4422, 3.568e-11, 4.182e-11, 5.853e-14, 6.832e-14
     59707.4425, 3.572e-11, 4.182e-11, 5.857e-14, 6.835e-14
     59707.4428, 3.566e-11, 4.178e-11, 5.996e-14, 6.809e-14
     59707.4431, 3.567e-11, 4.174e-11, 5.84e-14, 6.788e-14
     59707.4434, 3.568e-11, 4.181e-11, 5.865e-14, 6.822e-14
     59707.4437, 3.568e-11, 4.181e-11, 5.855e-14, 6.818e-14
      59707.444, 3.57e-11, 4.182e-11, 5.847e-14, 6.824e-14
     59707.4443, 3.573e-11, 4.184e-11, 5.85e-14, 6.832e-14
     59707.4446, 3.573e-11, 4.18e-11, 5.862e-14, 6.832e-14
     59707.4449, 3.568e-11, 4.182e-11, 5.851e-14, 6.815e-14
     59707.4452, 3.571e-11, 4.185e-11, 5.865e-14, 6.865e-14
     59707.4455, 3.57e-11, 4.182e-11, 5.853e-14, 6.821e-14
     59707.4458, 3.57e-11, 4.179e-11, 5.842e-14, 6.807e-14
     59707.4461, 3.568e-11, 4.184e-11, 5.837e-14, 6.829e-14
     59707.4464, 3.571e-11, 4.183e-11, 5.857e-14, 6.828e-14
     59707.4467, 3.569e-11, 4.183e-11, 5.832e-14, 6.811e-14
      59707.447, 3.569e-11, 4.176e-11, 5.857e-14, 6.815e-14
     59707.4473, 3.572e-11, 4.186e-11, 5.848e-14, 6.827e-14
     59707.4477, 3.573e-11, 4.184e-11, 5.859e-14, 6.827e-14
      59707.448, 3.568e-11, 4.187e-11, 5.845e-14, 6.82e-14
     59707.4483, 3.57e-11, 4.187e-11, 5.856e-14, 6.828e-14
     59707.4486, 3.569e-11, 4.181e-11, 5.853e-14, 6.838e-14
     59707.4489, 3.571e-11, 4.184e-11, 5.854e-14, 6.82e-14
     59707.4492, 3.572e-11, 4.182e-11, 5.854e-14, 6.813e-14
     59707.4495, 3.569e-11, 4.181e-11, 5.848e-14, 6.819e-14
     59707.4498, 3.569e-11, 4.183e-11, 5.856e-14, 6.828e-14
     59707.4501, 3.571e-11, 4.182e-11, 5.84e-14, 6.85e-14
