TIME	PSF_FLUX_NORM	PSF_EFLUX	X_POSITION	Y_POSITION	DQUALITY
2298.902420377	0.9985746554427972	0.04693300880581147	540.1458	156.2606	0
2298.909364874	0.992774183676907	0.046660386632814625	540.1455	156.2617	0
2298.916309372	0.9964966227159052	0.046835341267647546	540.1463	156.264	0
2298.923253869	0.9936125931166166	0.04669979187648098	540.1459	156.261	0
2298.930198366	1.007840380910976	0.047368497902815866	540.1453	156.2619	0
2298.937142864	1.0051229819087442	0.047240780149710976	540.1477	156.2656	0
2298.944087361	1.0078812899501888	0.04737042062765887	540.1438	156.2578	0
2298.951031858	0.9987490038233627	0.04694120317969805	540.147	156.2638	0
2298.957976355	1.0022910472801032	0.04710767922216485	540.1457	156.2608	0
2298.964920852	1.0098555744528204	0.04746321199928256	540.1472	156.2618	0
2298.971865349	0.9924454549219925	0.04664493638133365	540.1444	156.2626	0
2298.978809846	0.98439373975261	0.04626650576837267	540.1447	156.2614	0
2298.985754343	0.9714120516031026	0.045656366425345825	540.145	156.2644	0
2298.99269884	0.975955615207622	0.04586991391475823	540.1451	156.2596	0
2298.999643337	0.9834459929686734	0.04622196166952765	540.1464	156.2613	0
2299.006587834	0.9809857779423966	0.04610633156329264	540.1449	156.2624	0
2299.013532331	0.9607870109832178	0.045156989516211235	540.1452	156.2593	0
2299.020476827	0.9762935838177332	0.04588579843943346	540.1448	156.2632	0
2299.027421324	0.977865002523689	0.045959655118613385	540.1467	156.2631	0
2299.034365821	0.9556889732552736	0.04491738174299786	540.1449	156.2622	0
2299.041310317	0.9611324563872571	0.04517322545020108	540.1472	156.261	0
2299.048254814	0.9562726242116747	0.04494481333794871	540.1446	156.2627	0
2299.05519931	0.9608707543798991	0.04516092545585526	540.1456	156.2624	0
2299.062143807	0.9623345874729975	0.045229725611230884	540.1457	156.2635	0
2299.069088303	0.9856098954943447	0.046323665088234205	540.1451	156.2619	0
2299.076032799	0.9870944251771342	0.046393437983325306	540.1456	156.259	0
2299.082977296	0.9850426598091567	0.046297005011030366	540.1447	156.2636	0
2299.089921792	0.9888392012911191	0.0464754424606826	540.1462	156.2605	0
2299.096866288	1.0024485757497343	0.04711508306023751	540.1451	156.2613	0
2299.103810784	0.9835469571966153	0.04622670698824092	540.1459	156.2634	0
